Linux 5.15.0-171-generic (test1orca) 	03/23/26 	_x86_64_	(4 CPU)

13:38:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:40:36     all    1.27    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   96.46
13:40:37     all    0.76    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   97.48
13:40:38     all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.99
13:40:39     all    2.52    0.00    2.02    0.00    0.00    0.25    0.00    0.00    0.00   95.21
13:40:40     all    2.01    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.73
13:40:41     all    2.01    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   95.48
13:40:42     all    2.03    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.94
13:40:43     all    1.52    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.95
13:40:44     all    2.02    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   96.21
13:40:45     all    2.28    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   96.45
13:40:46     all    2.52    0.00    1.76    0.00    0.00    0.25    0.00    0.00    0.00   95.47
13:40:47     all    0.76    0.00    5.85    0.25    0.00    1.78    0.00    0.00    0.00   91.35
13:40:48     all    1.52    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   96.97
13:40:49     all    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:40:50     all    1.51    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.47
13:40:51     all    2.27    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   95.97
13:40:52     all    2.03    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.19
13:40:53     all    1.75    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.99
13:40:54     all    2.78    0.00    5.05    0.00    0.00    1.77    0.00    0.00    0.00   90.40
13:40:55     all    2.03    0.00    3.30    0.00    0.00    0.25    0.00    0.00    0.00   94.42
13:40:56     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.72
13:40:57     all    0.25    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.74
13:40:58     all    1.76    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.98
13:40:59     all    1.52    0.00    2.02    0.00    0.00    0.25    0.00    0.00    0.00   96.21
13:41:00     all    2.27    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.47
13:41:01     all    1.75    0.00    2.51    0.00    0.00    0.25    0.00    0.00    0.00   95.49
13:41:02     all    2.52    0.00    1.76    0.25    0.00    0.00    0.00    0.00    0.00   95.47
13:41:03     all    1.52    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:41:04     all    2.26    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   95.23
13:41:05     all    1.87    0.00    9.60    0.00    0.00    5.07    0.00    0.00    0.00   83.47
13:41:06     all    1.86    0.00    8.51    0.00    0.00    3.19    0.00    0.00    0.00   86.44
13:41:07     all    0.00    0.00    7.55    0.00    0.00    5.21    0.00    0.00    0.00   87.24
13:41:08     all    2.36    0.00    7.35    0.00    0.00    4.99    0.00    0.00    0.00   85.30
13:41:09     all    2.15    0.00    7.80    0.00    0.00    1.88    0.00    0.00    0.00   88.17
13:41:10     all    1.87    0.00    8.02    0.00    0.00    2.67    0.00    0.00    0.00   87.43
13:41:11     all    2.38    0.00    7.94    0.00    0.00    4.23    0.00    0.00    0.00   85.45
13:41:12     all    1.85    0.00    8.20    0.00    0.00    3.44    0.00    0.00    0.00   86.51
13:41:13     all    1.34    0.00    6.18    0.00    0.00    2.69    0.00    0.00    0.00   89.78
13:41:14     all    1.86    0.00    7.71    0.00    0.00    2.66    0.00    0.00    0.00   87.77
13:41:15     all    1.07    0.00    7.51    0.00    0.00    1.88    0.00    0.00    0.00   89.54
13:41:16     all    1.63    0.00    6.78    0.00    0.00    1.63    0.00    0.00    0.00   89.97
13:41:17     all    1.63    0.00    6.52    0.00    0.00    2.45    0.00    0.00    0.00   89.40
13:41:18     all    0.27    0.00    4.93    0.00    0.00    0.82    0.00    0.00    0.00   93.97
13:41:19     all    2.44    0.00    7.32    0.00    0.00    1.90    0.00    0.00    0.00   88.35
13:41:20     all    0.79    0.00    7.12    0.00    0.00    3.17    0.00    0.00    0.00   88.92
13:41:21     all    2.40    0.00    7.20    0.00    0.00    2.40    0.00    0.00    0.00   88.00
13:41:22     all    1.56    0.00    8.31    0.00    0.00    2.86    0.00    0.00    0.00   87.27
13:41:23     all    1.85    0.00    8.71    0.26    0.00    6.07    0.00    0.00    0.00   83.11
13:41:24     all    3.27    0.00    2.77    0.00    0.00    1.01    0.00    0.00    0.00   92.95
13:41:25     all    1.77    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   95.95
13:41:26     all    1.77    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.96
