image,phase,client_id,total_duration_s,total_bytes,layer_digest_short,layer_duration_s,layer_size,layer_status,layer_cache_status
python,4_recheck_A,3,26.030,410464994,sha256:5142ad1c6011,0.0340,250,200,unknown
python,4_recheck_A,4,26.030,410464994,sha256:299c82f5afaa,0.0363,6525,200,unknown
python,4_recheck_A,4,26.030,410464994,sha256:866771c43bf5,12.1572,49293124,200,unknown
python,4_recheck_A,4,26.030,410464994,sha256:ed881fbf1b07,6.5948,25614562,200,unknown
python,4_recheck_A,4,26.030,410464994,sha256:9da421ddeb65,1.0734,67778971,200,unknown
python,4_recheck_A,4,26.030,410464994,sha256:a793e3c6bce8,26.0181,236030458,200,unknown
python,4_recheck_A,4,26.030,410464994,sha256:10c3183ecaa6,0.1167,6085049,200,unknown
python,4_recheck_A,4,26.030,410464994,sha256:15991188a884,0.6236,25656055,200,unknown
python,4_recheck_A,4,26.030,410464994,sha256:5142ad1c6011,0.0358,250,200,unknown
python,4_recheck_A,5,26.030,410464994,sha256:299c82f5afaa,0.0356,6525,200,unknown
python,4_recheck_A,5,26.030,410464994,sha256:866771c43bf5,12.1549,49293124,200,unknown
python,4_recheck_A,5,26.030,410464994,sha256:ed881fbf1b07,6.5925,25614562,200,unknown
python,4_recheck_A,5,26.030,410464994,sha256:9da421ddeb65,1.0771,67778971,200,unknown
python,4_recheck_A,5,26.030,410464994,sha256:a793e3c6bce8,26.0157,236030458,200,unknown
