Linux 5.15.0-171-generic (test1orca) 	03/24/26 	_x86_64_	(4 CPU)

15:32:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:34:13     all    2.26    0.00    2.76    0.00    0.00    0.00    0.00    0.00    0.00   94.97
15:34:14     all    1.77    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.70
15:34:15     all    2.26    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   95.98
15:34:16     all    2.01    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   94.97
15:34:17     all    2.03    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.95
15:34:18     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:34:19     all    2.27    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.71
15:34:20     all    2.00    0.00    2.99    0.00    0.00    0.00    0.00    0.00    0.00   95.01
15:34:21     all    1.77    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   95.95
15:34:22     all    2.01    0.00    2.51    0.25    0.00    0.25    0.00    0.00    0.00   94.99
15:34:23     all    1.77    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.96
15:34:24     all    1.01    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   95.97
15:34:25     all    2.01    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   95.99
15:34:26     all    2.27    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.72
15:34:27     all    1.52    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   96.72
15:34:28     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.49
15:34:29     all    2.74    0.00    2.74    0.00    0.00    0.00    0.00    0.00    0.00   94.51
15:34:30     all    1.77    0.00    2.27    0.00    0.00    0.25    0.00    0.00    0.00   95.71
15:34:31     all    1.78    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   96.95
15:34:32     all    2.27    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:34:33     all    2.31    0.00    2.05    0.00    0.00    1.03    0.00    0.00    0.00   94.62
15:34:34     all    1.76    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.72
15:34:35     all    1.79    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   96.68
15:34:36     all    2.78    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   95.71
15:34:37     all    0.75    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   97.99
15:34:38     all    1.77    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.22
15:34:39     all    1.25    0.00    2.75    0.00    0.00    0.25    0.00    0.00    0.00   95.75
15:34:40     all    3.30    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   94.67
15:34:41     all    1.76    0.00    2.26    0.00    0.00    0.25    0.00    0.00    0.00   95.73
15:34:42     all    1.26    0.00    2.76    0.25    0.00    0.00    0.00    0.00    0.00   95.73
15:34:43     all    2.02    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   96.22
15:34:44     all    2.27    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.72
15:34:45     all    1.02    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   96.95
15:34:46     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.72
15:34:47     all    1.27    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   97.46
15:34:48     all    1.26    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.74
